"STUDENTID";"ACADYEAR";"SEMESTER";"CAMPUSID";"COURSEID";"CAMPUSNAME";"CURRIC";"COURSENAME";"SECTIONGROUP";"CREDIT";"GRADE"
321849;2552;1;2;"TU154";"RANGSIT";"521";"FOUNDATION OF MATHEMATICS";"070001";3;"C+"
321849;2552;2;2;"CS111";"RANGSIT";"521";"OBJECT-ORIENTED PROGRAMMING";"040501";4;"D+"
321849;2552;2;2;"EL172";"RANGSIT";"521";"ENGLISH COURSE 3";"100008";3;"B+"
321849;2552;2;2;"MA211";"RANGSIT";"521";"CALCULUS 1";"090001";3;"D+"
321849;2552;2;2;"PY228";"RANGSIT";"521";"PSYCHOLOGY OF INTERPERSONAL RELATIONS";"010001";3;"B"
321849;2552;2;2;"SC123";"RANGSIT";"521";"FUNDAMENTAL CHEMISTRY";"070001";3;"C+"
321849;2552;2;2;"SC173";"RANGSIT";"521";"FUNDAMENTAL CHEMISTRY   LABORATORY";"008101";1;"C+"
321849;2552;2;2;"TU110";"RANGSIT";"521";"INTEGRATED HUMANITIES";"320001";3;"C+"
321849;2553;1;2;"AT326";"RANGSIT";"521";"RICE AND PRODUCTION TECHNOLOGY";"010001";3;"A"
321849;2553;1;2;"CS213";"RANGSIT";"521";"DATA STRUCTURES";"050001";3;"D+"
321849;2553;1;2;"CS214";"RANGSIT";"521";"SOCIAL AND PROFESSIONAL ETHICS";"000001";1;"A"
321849;2553;1;2;"CS222";"RANGSIT";"521";"PROGRAMMING LANGUAGES AND PARADIGMS";"910001";3;"C+"
321849;2553;1;2;"CS223";"RANGSIT";"521";"COMPUTER ORGANIZATION AND ARCHITECTURE";"040002";3;"C+"
321849;2553;1;2;"CS284";"RANGSIT";"521";"INTRODUCTION TO SOFTWARE ENGINEERING";"900001";3;"B"
321849;2553;1;2;"EL295";"RANGSIT";"521";"ACADEMIC ENGLISH 1";"070002";3;"A"
321849;2553;1;2;"MA212";"RANGSIT";"521";"CALCULUS 2";"030001";0;"W"
321849;2553;2;2;"AT316";"RANGSIT";"521";"INDUSTRIAL AND POWER PLANTS";"060001";3;"B+"
321849;2553;2;2;"CS251";"RANGSIT";"521";"DATABASE SYSTEMS 1";"020002";3;"C+"
321849;2553;2;2;"CS261";"RANGSIT";"521";"HUMAN INFORMATION PROCESSING";"090001";3;"B"
321849;2553;2;2;"CS281";"RANGSIT";"521";"OBJECT-ORIENTED ANALYSIS AND DESIGN";"780001";3;"B"
321849;2553;2;2;"EL395";"RANGSIT";"521";"ACADEMIC ENGLISH 2";"050004";3;"A"
321849;2553;2;2;"MA332";"RANGSIT";"521";"LINEAR ALGEBRA";"030001";3;"D+"
321849;2553;2;2;"ST216";"RANGSIT";"521";"STATISTICS  FOR  SOCIAL  SCIENCE 1";"040001";0;"W"
321849;2553;3;1;"TU122";"THA PRACHAN";"521";"LAW IN EVERYDAY LIFE";"388301";3;"B"
321849;2554;1;2;"CS111";"RANGSIT";"521";"OBJECT-ORIENTED PROGRAMMING";"060801";4;"A"
321849;2554;1;2;"CS289";"RANGSIT";"521";"SOFTWARE PROCESS AND QUALITY ASSURANCE";"090001";3;"B"
321849;2554;1;2;"CS314";"RANGSIT";"521";"THEORY OF COMPUTATION";"040001";3;"D"
